audit verb=start args=["verify-cella-env-www-p5gmdhf"] uid=1000 gid=1000 persona=cella-machine host_ns=1789998427142434043
audit verb=release args=["0000000025e87f8b8595073985805721"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998436914287171
audit verb=release args=["0000000026007fff8418415295b86901"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998436938017016
audit verb=release args=["0000000026077a68ba51d4523c5c132e"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998436944711626
audit verb=release args=["0000000026087d088635e92a15ad1718"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998436945481081
audit verb=release args=["00000000260d7bf8b5a9d571bd413ee5"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998436950901679
audit verb=release args=["00000000260e7ef68438fb6b8ef26764"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998436951547822
audit verb=release args=["0000000026137ddabc59fd63538c3a72"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998436957205635
audit verb=release args=["0000000026147317be611dd5b9485454"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998436957979799
audit verb=release args=["00000000261a73758f556f606794c564"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998436963373997
audit verb=release args=["00000000261c70f4ae5e5376f6a99df3"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998436965393308
audit verb=release args=["00000000261c7f06bc03bf0103d6cb66"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998436966118931
audit verb=release args=["00000000261d74a981d2d6ea434816a0"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998436967157361
audit verb=release args=["000000002624716389cccaa298b67f43"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998436973839116
audit verb=release args=["00000000264e78cfbe0c0e9ad448c7aa"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998437015980823
audit verb=release args=["0000000060467bc784af5509edd2f173"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998451855890262
audit verb=release args=["0000000060477b709f365de41d91fc8d"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998451856765084
audit verb=release args=["00000000604873f797bc9beb9afeb1db"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998451857744594
audit verb=release args=["0000000060497d67a67a123bfe68fb96"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998451859278554
audit verb=release args=["000000006054787d98ab8cae9dd05fcd"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998451870296682
audit verb=release args=["0000000060567e5dac0f9b981d425201"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998451871588567
audit verb=release args=["00000000605b78ad89e5b985e7c03513"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998451876489199
audit verb=release args=["00000000605b70bb93131dcc6bc4f59c"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998451877365304
audit verb=release args=["0000000060617f0faaa3df1ea26994a5"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998451882646520
